norad_id,age_days,mean_motion,altitude_km,inclination_deg,eccentricity,bstar,error_km
25544,6.0,15.48254,421.83,51.632,0.001118,0.000213,23.526
25544,7.0,15.48254,421.83,51.632,0.001118,0.000213,30.852
25544,0.25,15.48262,421.81,51.632,0.001108,0.0002333,0.461
25544,0.5,15.48262,421.81,51.632,0.001108,0.0002333,0.667
25544,1.0,15.48262,421.81,51.632,0.001108,0.0002333,2.129
25544,1.5,15.48262,421.81,51.632,0.001108,0.0002333,2.885
25544,2.0,15.48262,421.81,51.632,0.001108,0.0002333,4.98
25544,3.0,15.48262,421.81,51.632,0.001108,0.0002333,11.426
25544,4.0,15.48262,421.81,51.632,0.001108,0.0002333,21.884
25544,5.0,15.48262,421.81,51.632,0.001108,0.0002333,34.079
25544,6.0,15.48262,421.81,51.632,0.001108,0.0002333,47.0
25544,7.0,15.48262,421.81,51.632,0.001108,0.0002333,60.915
25544,0.25,15.48279,421.76,51.632,0.001111,0.000203,0.196
25544,0.5,15.48279,421.76,51.632,0.001111,0.000203,0.243
25544,1.0,15.48279,421.76,51.632,0.001111,0.000203,0.183
25544,1.5,15.48279,421.76,51.632,0.001111,0.000203,0.595
25544,2.0,15.48279,421.76,51.632,0.001111,0.000203,1.674
25544,3.0,15.48279,421.76,51.632,0.001111,0.000203,5.843
25544,4.0,15.48279,421.76,51.632,0.001111,0.000203,10.553
25544,5.0,15.48279,421.76,51.632,0.001111,0.000203,14.935
25544,6.0,15.48279,421.76,51.632,0.001111,0.000203,18.842
25544,7.0,15.48279,421.76,51.632,0.001111,0.000203,21.345
25544,0.25,15.48278,421.76,51.632,0.00111,0.0001862,0.708
25544,0.5,15.48278,421.76,51.632,0.00111,0.0001862,1.042
25544,1.0,15.48278,421.76,51.632,0.00111,0.0001862,1.561
25544,1.5,15.48278,421.76,51.632,0.00111,0.0001862,1.513
25544,2.0,15.48278,421.76,51.632,0.00111,0.0001862,1.487
25544,3.0,15.48278,421.76,51.632,0.00111,0.0001862,0.512
25544,4.0,15.48278,421.76,51.632,0.00111,0.0001862,1.655
25544,5.0,15.48278,421.76,51.632,0.00111,0.0001862,1.901
25544,6.0,15.48278,421.76,51.632,0.00111,0.0001862,1.206
25544,7.0,15.48278,421.76,51.632,0.00111,0.0001862,2.671
25544,0.25,15.48288,421.73,51.632,0.00111,0.00020277,0.14
25544,0.5,15.48288,421.73,51.632,0.00111,0.00020277,0.414
25544,1.0,15.48288,421.73,51.632,0.00111,0.00020277,0.786
25544,1.5,15.48288,421.73,51.632,0.00111,0.00020277,2.005
25544,2.0,15.48288,421.73,51.632,0.00111,0.00020277,4.208
25544,3.0,15.48288,421.73,51.632,0.00111,0.00020277,9.027
25544,4.0,15.48288,421.73,51.632,0.00111,0.00020277,13.925
25544,5.0,15.48288,421.73,51.632,0.00111,0.00020277,18.021
25544,6.0,15.48288,421.73,51.632,0.00111,0.00020277,22.361
25544,7.0,15.48288,421.73,51.632,0.00111,0.00020277,24.485
25544,0.25,15.48296,421.71,51.632,0.001108,0.00016122,0.208
25544,0.5,15.48296,421.71,51.632,0.001108,0.00016122,0.49
25544,1.0,15.48296,421.71,51.632,0.001108,0.00016122,0.549
25544,1.5,15.48296,421.71,51.632,0.001108,0.00016122,0.136
25544,2.0,15.48296,421.71,51.632,0.001108,0.00016122,0.327
25544,3.0,15.48296,421.71,51.632,0.001108,0.00016122,1.096
25544,4.0,15.48296,421.71,51.632,0.001108,0.00016122,4.142
25544,5.0,15.48296,421.71,51.632,0.001108,0.00016122,9.737
25544,6.0,15.48296,421.71,51.632,0.001108,0.00016122,18.01
25544,7.0,15.48296,421.71,51.632,0.001108,0.00016122,29.736
25544,0.25,15.48296,421.71,51.632,0.001108,0.00016122,0.208
25544,0.5,15.48296,421.71,51.632,0.001108,0.00016122,0.49
25544,1.0,15.48296,421.71,51.632,0.001108,0.00016122,0.549
25544,1.5,15.48296,421.71,51.632,0.001108,0.00016122,0.136
25544,2.0,15.48296,421.71,51.632,0.001108,0.00016122,0.327
25544,3.0,15.48296,421.71,51.632,0.001108,0.00016122,1.096
25544,4.0,15.48296,421.71,51.632,0.001108,0.00016122,4.142
25544,5.0,15.48296,421.71,51.632,0.001108,0.00016122,9.737
25544,6.0,15.48296,421.71,51.632,0.001108,0.00016122,18.01
25544,7.0,15.48296,421.71,51.632,0.001108,0.00016122,29.736
25544,0.25,15.48298,421.71,51.632,0.00111,0.00015394,0.235
25544,0.5,15.48298,421.71,51.632,0.00111,0.00015394,0.145
25544,1.0,15.48298,421.71,51.632,0.00111,0.00015394,0.526
25544,1.5,15.48298,421.71,51.632,0.00111,0.00015394,0.282
25544,2.0,15.48298,421.71,51.632,0.00111,0.00015394,0.882
25544,3.0,15.48298,421.71,51.632,0.00111,0.00015394,2.698
25544,4.0,15.48298,421.71,51.632,0.00111,0.00015394,7.462
25544,5.0,15.48298,421.71,51.632,0.00111,0.00015394,14.724
25544,6.0,15.48298,421.71,51.632,0.00111,0.00015394,25.545
25544,7.0,15.48298,421.71,51.632,0.00111,0.00015394,39.337
25544,0.25,15.48303,421.69,51.632,0.00111,0.00013993,0.358
25544,0.5,15.48303,421.69,51.632,0.00111,0.00013993,0.429
25544,1.0,15.48303,421.69,51.632,0.00111,0.00013993,0.856
25544,1.5,15.48303,421.69,51.632,0.00111,0.00013993,1.878
25544,2.0,15.48303,421.69,51.632,0.00111,0.00013993,3.055
25544,3.0,15.48303,421.69,51.632,0.00111,0.00013993,7.947
25544,4.0,15.48303,421.69,51.632,0.00111,0.00013993,16.8
25544,5.0,15.48303,421.69,51.632,0.00111,0.00013993,28.241
